Date,Open,High,Low,Close,Volume,Market Cap
29-12-2019,7317.65,7513.95,7279.87,7422.65,22445257702,"134,570,835,775"
28-12-2019,7289.03,7399.04,7286.91,7317.99,21365673026,"132,659,059,740"
27-12-2019,7238.14,7363.53,7189.93,7290.09,22777360996,"132,139,502,950"
26-12-2019,7274.80,7388.30,7200.39,7238.97,22787010034,"131,200,030,100"
25-12-2019,7325.76,7357.02,7220.99,7275.16,21559505149,"131,840,641,292"
24-12-2019,7354.39,7535.72,7269.53,7322.53,22991622105,"132,687,583,295"
23-12-2019,7508.90,7656.18,7326.19,7355.63,27831788041,"133,275,709,111"
22-12-2019,7191.19,7518.03,7167.18,7511.59,23134537956,"136,088,022,049"
21-12-2019,7220.59,7223.23,7112.74,7191.16,19312552168,"130,267,655,889"
20-12-2019,7208.64,7257.92,7086.12,7218.82,22633815180,"130,752,796,980"
19-12-2019,7277.59,7346.60,7041.38,7202.84,25904604416,"130,445,758,713"
18-12-2019,6647.70,7324.98,6540.05,7276.80,31836522778,"131,754,969,804"
17-12-2019,6931.32,6964.07,6587.97,6640.52,22363804217,"120,234,244,809"
16-12-2019,7153.66,7171.17,6903.68,6932.48,20213265950,"125,515,586,952"
15-12-2019,7124.24,7181.08,6924.38,7152.30,16881129804,"129,481,424,648"
14-12-2019,7268.90,7308.84,7097.21,7124.67,17137029730,"128,970,221,233"
13-12-2019,7244.66,7293.56,7227.12,7269.68,17125736940,"131,581,377,758"
12-12-2019,7216.74,7266.64,7164.74,7243.13,18927080224,"131,087,151,088"
12-11-2019,7277.20,7324.16,7195.53,7217.43,16350490689,"130,609,895,528"
12-10-2019,7397.13,7424.02,7246.04,7278.12,18249031195,"131,696,121,855"
12-09-2019,7561.80,7618.09,7365.99,7400.90,17872021272,"133,904,005,787"
12-08-2019,7551.34,7634.61,7476.09,7564.35,15409908086,"136,847,419,896"
12-07-2019,7547.27,7589.95,7525.71,7556.24,15453520564,"136,686,769,529"
12-06-2019,7450.56,7547.00,7392.18,7547.00,18104466307,"136,504,883,935"
12-05-2019,7253.24,7743.43,7232.68,7448.31,18816085231,"134,706,455,048"
12-04-2019,7320.13,7539.78,7170.92,7252.03,21664240918,"131,143,073,943"
12-03-2019,7323.98,7418.86,7229.36,7320.15,14797485769,"132,359,942,301"
12-02-2019,7424.04,7474.82,7233.40,7321.99,17082040706,"132,378,982,377"
12-01-2019,7571.62,7571.62,7291.34,7424.29,18720708479,"134,215,145,410"
30-11-2019,7764.06,7836.10,7515.85,7569.63,17158194786,"136,829,391,049"
29-11-2019,7466.73,7781.18,7460.76,7761.24,19709695456,"140,280,108,521"
28-11-2019,7536.82,7730.07,7454.12,7463.11,19050116751,"134,879,411,013"
